Movie name,Description,Genre
Once Upon a Time in America," former prohibition-era jewish gangster returns   lower east side  manhattan  thirty years later,     must confront  ghosts  regrets   old life.","Drama, Crime"
The Lord of the Rings: The Two Towers," bagging    members   fellowship continue   sacred quest  destroy  one ring--but  separate paths.  destined lie  two towers--orphan tower  isengard,   corrupt wizard artman awaits,  patron's fortress  brad-dur, deep within  dark lands  border.   sam  trekking  border  destroy  one ring  power  girl, legolas  dragon search   orc-captured merry  piping.  along, nefarious wizard artman awaits  fellowship members   orphan tower  isengard.","Adventure, Fantasy, Action"
KPop Demon Hunters," k-pop superstars rum, mira  joey  selling  stadiums,  using  secret powers  protect  fans  supernatural threats.","Animation, Music, Fantasy, Comedy"
Hope," 8-year-old so-won narrowly survives  brutal sexual assault,  family labor  help  heal  coping    rage  grief.",Drama
Spider-Man: Into the Spider-Verse,"struggling  find  place   world  juggling school  family, brooklyn teenager miles morales  unexpectedly bitten   radioactive spider  develops unfathomable powers  like  one   spider-man.  wrestling   implications   new abilities, miles discovers  super collider created   madman wilson ""kingpin"" risk, causing others  across  spider-verse   inadvertently transported   dimension.","Animation, Action, Adventure, Science Fiction"
Howl's Moving Castle,"sophie,  young miller,  turned   elderly woman   witch  enters  shop  curses her.  encounters  wizard named howl  gets caught    resistance  fighting   king.","Fantasy, Animation, Adventure"
The Empire Strikes Back," epic saga continues  luke skywalker,  hopes  defeating  evil galactic empire, learns  ways   jedi  aging master yoga.  earth made   determined  ever  capture luke. meanwhile, rebel leader princess lia, rocky han solo, chewbacca,  droid c-3po  r2-d2  thrown  various stages  capture, betrayal  despair.","Adventure, Action, Science Fiction"
A Silent Voice: The Movie," sida starts bullying  new girl  class,  nishimiya,    deaf.    teasing continues,  rest   class starts  turn     lack  compassion.   leave elementary school,      speak    again...   older, wiser should, tormented   past behaviour, decides  must see   more.  wants  alone   sins,    already  late...?","Animation, Drama, Romance"
Lucy Shimmers and the Prince of Peace,second chances start   hardened criminal crosses paths   precocious little girl   helped   angel  change hearts   holiday season.,"Drama, Family"
The Pianist," true story  pianist władysław szpilman's experiences  warsaw   nazi occupation.   jews   city find  forced   ghetto, szpilman finds work playing   café;    family  deported  1942,  stays behind, works      laborer,  eventually goes  hiding   ruins   war-torn city.","Drama, War"
