Movie name,Description,Genre
Words on Bathroom Walls,"diagnosed   mental illness halfway   senior year  high school,  witty, introspective teen struggles  keep   secret  falling  love   brilliant classmate  inspires   open  heart    defined   condition.","Drama, Romance"
Nine Queens,"two con artists try  spindle  stamp collector  selling   sheet  counterfeit rare stamps,  ""nine queens"".","Crime, Thriller, Drama"
Perfect Days,"hirayama  content   life   toilet cleaner  tokyo. outside   structured routine,  cherished music  cassette tapes, books,  taking photos  trees.  unexpected encounters,  reflects  finding beauty   world.",Drama
The Dinner Game," pierre brochant   friends, wednesday  “idiots' day”.  idea  simple:  person   bring along  idiot.  one  brings   spectacular idiot wins  prize. tonight, brochant  ecstatic.   found  gem.  ultimate idiot, “a world champion idiot!”.  brochant doesn’t know   pigeon   real jin,  past master   art  bringing  catastrophe...",Comedy
A Man Called Otto,"  lively young family moves  next door, grumpy widower otto anderson meets  match   quick-witted, pregnant woman named mario, leading   unlikely friendship  turns  world upside down.","Comedy, Drama"
Never Look Away,"german artist kurt barnett  escaped east germany   lives  west germany,   tormented   childhood   nazis   dr regime.","Drama, Romance, History"
Touch of Evil,"  car bomb explodes   american side   u.s./mexico border, mexican drug enforcement agent miguel areas begins  investigation, along  american police captain hank quinn.  areas begins  suspect  quinn   shady partner, denies,  planting evidence  frame  innocent man,  investigations   possible corruption quickly put    new bride, use,  jeopardy.","Crime, Thriller"
Emancipation,"inspired   gripping true story   man  would  anything   family—and  freedom.  peter,  enslaved man, risks  life  escape  return   family,  embarks   perilous journey  love  endurance.","Drama, War, History"
Ernest & Celestine,"celestial   little mouse trying  avoid  dental career  ernest   big bear craving  artistic outlet.  celestial meets ernest,  overcome  natural enmity  forging  life  crime together.","Animation, Family, Adventure, Music"
Le Samouraï," carrying   flawless planned hit, ref constell,  contract killer  samurai instincts, finds  caught   persistent police investigator   ruthless employer,   even  armor  federal  trench coat  protect him.","Crime, Thriller"
Life of Brian,"brian cohen   average young jewish man,    series  ridiculous events,  gains  reputation   messiah.    dodging  followers   scored   thrill mother,  hapless brian   contend   pompous ponies plate  acronym-obsessed members   separatist movement. rife  month python's signature absurdity,  tale finds brian's life paralleling biblical lore, albeit  many  laughs.",Comedy
Short Term 12,"grace,  compassionate young supervisor   foster care facility, helps at-risk teens.    new charge dredge  memories    troubled past, grace's tough exterior begins reading.",Drama
The King and the Mockingbird," young shepherds   chimneysweep plan  get married  escape  clutches   tyrannical king  love  her, assisted   guide   cheek mockingbird,  king's archenemy.","Animation, Family, Fantasy"
PlayTime,"clumsy monster quot finds  perplexed   intimidating complexity   gadget-filled paris.  attempts  meet   business contact  soon becomes lost.  roundabout journey parallels    american tourist,    weave   inventive urban environment,  intermittently meet, developing  interest  one another.  eventually get together   chaotic restaurant, along  several  quirky characters.",Comedy
Luck,"suddenly finding    never-before-seen land  luck,  unluckiest person   world must unite   magical creatures   turn  luck around.","Animation, Adventure, Comedy, Fantasy"
A Matter of Life and Death," british wartime aviator  cheats death must argue   life   celestial court, hoping  prolong  fledgling romance   american girl.","Romance, Fantasy, Drama"
Angel's Egg,"  underwater city,  young girl takes care   large egg  holds carefully   arms –  treasure   believes   angel's egg. one day,  boy   gun arrives  search   bird  saw   dream and,  first,  seems   feelings  sympathy  developing   two.","Animation, Fantasy, Mystery"
Ip Man," semi-biographical account  ip man,  first martial arts master  teach  chinese martial art  wing chun.  film focuses  events surrounding ip  took place   city     1930s  1940s   second sino-japanese war. directed  wilson ip,  film stars donne yen   lead role,  features fight choreography  ammo hung.","Drama, Action, History"
A Walk to Remember,"  popular, restless london carter  forced  participate   school drama production,  falls  love  jamie sullivan,  daughter   town's minister. jamie   ""to-do"" list   life,  well    big secret  must keep  london.","Drama, Romance"
Big Fish,"throughout  life edward bloom  always   man  big appetite, enormous passions  tall tales.   later years,  remains  huge mystery   son, william. now,  get  know  real man,  begins piercing together  true picture   father  flashbacks   amazing adventures.","Adventure, Fantasy, Drama"
The Untouchables,"elliot ness,  ambitious prohibition agent,  determined  take  al alone.  order  achieve  goal,  forms  group given  nickname “the untouchables”.","Crime, History, Thriller"
Let the Bullets Fly," circumstances force  outlaw  impersonate  county governor  clean   corrupt town,  robin hood figure finds    showdown   local godfather.","Action, Comedy"
God's Own Country," young farmer  rural yorkshire number  daily frustrations  binge drinking  casual sex,   arrival   romanian migrant worker.","Romance, Drama"
Ninja Scroll,"tube   masterless ninja  travels  land alone, lending  services    gold—or  worthy cause.  fearsome abilities  served  well,   plot  overthrow  government threatens  end  wandering ways—and possibly  life.","Fantasy, Adventure, Animation, Action"
Pan's Labyrinth," post–civil war spain, 10-year-old felix moves   pregnant mother  live   control   cruel stepfather. drawn   mysterious labyrinth,  meets  fan  reveals   may   lost princess   underground kingdom.  return   true father,  must complete  series  surreal  perilous tasks  blur  line  reality  fantasy.","Fantasy, Drama, War"
Train to Busan,"  zombie virus pushes korea   state  emergency,  trapped   express train  susan must fight    survival.","Horror, Thriller, Action, Adventure"
The Hateful Eight,bounty hunters seek shelter   raging blizzard  get caught    plot  betrayal  deception.,"Drama, Mystery, Western"
Amour,"georges  anne    eighties.   cultivated, retired music teachers.  daughter,   also  musician, lives abroad   family. one day, anne   stroke,   couple's bond  love  severely tested.","Drama, Romance"
Rain Man," car dealer charlie rabbit learns   estranged father  died,  returns home  cincinnati,   discovers     avant older brother named raymond    father's $3 million fortune   left   mental institution   raymond lives. motivated   father's money, charlie checks raymond    facility  order  return    los angeles.  brothers' cross-country trip ends  changing   lives.",Drama
Partly Cloudy,"everyone knows   stork delivers babies,     stores get  babies from?  answer lies    stratosphere,  cloud people script babies  clouds  bring   life. gus,  lonely  insecure grey cloud,   master  creating ""dangerous"" babies. crocodiles, porcupine, rams   - gus's beloved creations  works  art,     handful   loyal delivery stork partner, pick.  gus's creations become    rambunctious, pick's job gets harder  harder.   pick manage  handle   hazardous cargo   friend's fiery temperament?","Animation, Family, Comedy"
Shrek," ain't easy been' green -- especially    liable (albeit smell) ore named shrew.   mission  retrieve  gorgeous princess   clutches   fire-breathing dragon, shrew teams    unlikely compatriot --  wisecracking donkey.","Animation, Comedy, Fantasy, Adventure, Family"
All Quiet on the Western Front,"  group  idealistic young men join  german army   great war,   assigned   western front,   patriotism  destroyed   harsh realities  combat.","Drama, War"
Instructions Not Included,"valentine  acapulco's resident playboy,   former fling leaves  baby   doorstep   heading     mexico.","Comedy, Drama"
The Chaser,"joong-ho   dirty detective turned pimp  financial trouble  several   girls  recently disappeared without clearing  debts.  trying  track  down,  finds  clue   vanished girls   called     client  one   girls  meeting  right now.","Crime, Thriller, Action"
The Color Purple," epic tale spanning forty years   life  celine,  african-american woman living   south  survives incredible abuse  bigotry.  celine's abusive father marries     equally debating 'mister' albert johnson, things go  bad  worse, leaving celine  find companionship anywhere  can.  perseveres, holding    dream  one day  reunited   sister  africa.","Drama, History"
The Heist of the Century," 2006,  group  thieves performed   considered one    famous  smart bank heist   history  argentina.   robbed  rio bank   surprising   happened afterwards.    story.","Comedy, Thriller, Crime"
Zootopia,"determined  prove herself, officer judy hopes,  first bunny  zootopia's police force, jumps   chance  crack  first case - even   means partnering  scam-artist fox nick wide  solve  mystery.","Animation, Adventure, Family, Comedy"
Ponyo," suke,  young boy  lives   clifftop overlooking  sea, rescues  stranded goldfish named pony,  discovers    bargain for. pony   curious, energetic young creature  years   human,  even   causes chaos around  house,  father,  powerful sorcerer, schemes  return pony   sea.","Animation, Fantasy, Family"
How to Train Your Dragon: The Hidden World," pickup fulfills  dream  creating  peaceful dragon utopia, worthless’ discovery   unnamed, elusive mate draws  night fury away.  danger mounts  home  pickup’s reign  village chief  tested,  dragon  rider must make impossible decisions  save  kind.","Animation, Family, Adventure"
Better Man,"follow robbie williams' journey  childhood,    youngest member  chart-topping bombard take that,    unparalleled achievements   record-breaking solo artist –    confronting  challenges  stratospheric fame  success  bring.","Music, Drama"
The Leopard," garibaldi's troops begin  unification  italy   1860s,  aristocratic civilian family grudgingly adapts   sweeping social changes undermining  way  life. proud  pragmatic prince  fabrizio saline allows  war hero nephew, tancredi,  marry angelic,  beautiful daughter  gauche, bourgeois  calogero,  order  maintain  family's accustomed level  comfort  political clout.",Drama
Platoon,"  young  naive recruit  vietnam, chris taylor faces  moral crisis  confronted   horrors  war   duality  man.","Drama, War, Action"
Everything Everywhere All at Once," aging chinese immigrant  swept    insane adventure,   alone  save what's important    connecting   lives  could  led   universes.","Action, Adventure, Science Fiction"
My Mom Is a Character," another spat   kids,  herínia decides  take  time     hides away   aunt's house,   reminiscent   kids   age   still needed her.",Comedy
Crooks in Clover," aging gangster, fernando audio  hoping   quiet retirement   suddenly inherits  fortune   old friend,  former gangster supreme known   mexican.    ambivalent   new found wealth, fernando  positively nonplussed  discover    also inherited  benefactor’s daughter, patricia. unfortunately,    fernando   put    thoroughly modern patricia   nauseating boyfriend,   also   contend   mexican’s trigger-happy former employees,   determined  make  claim.","Comedy, Crime"
Gran Turismo, ultimate wish-fulfillment tale   teenage gran turismo player whose gaming skills    series  nissan competitions  become  actual professional racecar driver.,"Adventure, Action, Drama"
Shelter,"forced  give   dreams  art school, zach works dead-end jobs  support  sister   son. questioning  life,  paints, surf  hangs    best friend, game.  game's older brother returns home   summer, zach suddenly finds  drawn   relationship   expect.","Drama, Romance"
Misery,"  accident, acclaimed novelist paul seldom  rescued   nurse  claims    biggest fan.  obsession takes  dark turn   holds  captive   remote colorado home  forces   write back  life  popular literary character  killed off.","Drama, Thriller"
The Normal Heart," story   onset   hiv-aids crisis  new york city   early 1980s, taking  unflinching look   nation's sexual politics  gay activists   allies   medical community fight  expose  truth   burgeoning epidemic   city  nation  denial.",Drama
Mystic River, lives  three men   childhood friends  shattered  one   suffers  family tragedy.,"Thriller, Crime, Drama, Mystery"
RRR, fictional history  two legendary revolutionaries' journey away  home   began fighting   country   1920s.,"Action, Adventure, Drama"
Notorious," order  help bring nazis  justice, u.s. government agent t.r. dealing recruits alicia superman,  american daughter   convicted german war criminal,   spy.   begin  fall  one another, alicia  instructed  win  affections  alexander sebastian,  nazi hiding   brazil.  sebastian becomes serious   relationship  alicia,  stakes get higher,  dealing must watch  slip  undercover.","Thriller, Romance, Mystery"
Guy Ritchie's The Covenant,"  war  afghanistan,  local interpreter risks   life  carry  injured sergeant across miles  ruling terrain.","War, Action, Thriller"
Batman: Under the Red Hood,"one part vigilante, one part criminal kingpin, red hood begins cleaning  gotham   efficiency  batman,  without following   ethical code.","Mystery, Crime, Animation"
Accattone, pimp    means  provide   finds  life sprawling   control   prostitute  sent  prison.,Drama
Deep Red," english pianist living  rome witnesses  brutal murder   psychic neighbor.   help   tenacious young reporter,  tries  discover  killer using  unconventional methods.  two  soon drawn   shocking web  dementia  violence.","Horror, Mystery, Thriller"
Harry Potter and the Deathly Hallows: Part 1,"harry, ron  hormone walk away   last year  hogwarts  find  destroy  remaining horcruxes, putting  end  voldemort's bid  immortality.   harry's beloved dumbledore dead  voldemort's unscrupulous death eaters   loose,  world   dangerous  ever.","Adventure, Fantasy"
The Red Balloon," young boy discovers  stray balloon,  seems    mind   own,   streets  paris.  two become inseparable, yet  world’s harsh realities finally interfere.","Comedy, Drama, Family, Fantasy"
Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog," mystery, inc.   tail   strange object  nowhere, kansas,  strange hometown  estate, murder,  courage,  gang soon find  contending   giant canada monster   winged warriors.","Animation, Comedy, Mystery, Family, Fantasy, Adventure, Horror"
Two Is a Family, man without attachments  responsibilities suddenly finds    abandoned baby  leaves  london  try  find  mother. eight years later     daughter become inseparable gloria's mother reappears.,"Drama, Comedy"
Mustang,"  turkish village, five orphaned sisters live  strict rule  members   family prepare  arranged marriages.",Drama
"Batman: The Dark Knight Returns, Part 1","batman    seen  ten years.  new breed  criminal ravaged gotham city, forcing 55-year-old bruce wayne back   cape  col. but,   still    takes  fight crime   new era?","Science Fiction, Action, Animation, Mystery"
Annie Hall,new york comedian ally singer falls  love    annie hall.,"Comedy, Drama, Romance"
Nothing Left to Do But Cry,"two 20th-century friends accidentally stumble   year 1492,   meet  charming teen  try  alter history.","Comedy, Fantasy"
The Exorcist,"  charming 12-year-old girl takes   characteristics  voices  others, doctors say   nothing   do.  people begin  die,  girl's mother realizes  daughter   possessed   devil.  daughter's  possible hope lies  two priests   ancient rite  demonic exercise.",Horror
The King's Speech," king's speech tells  story   man  became king george vi,  father  queen elizabeth ii.   brother abdicated, george ('bernie') reluctantly assumes  throne. plagued   dreaded shutter  considered unfit   king, bernie engages  help   unorthodox speech therapist named lionel ligue.   set  unexpected techniques,    result   unlikely friendship, bernie  able  find  voice  boldly lead  country  war.","Drama, History"
Cool Hand Luke," petty criminal luke jackson  sentenced  two years   florida prison farm,   play   rules  either  sadistic warden   yard's resident heavy, deadline,  ends  airing  new guy's unreadable will. luke's bravo, even   face  repeated stints   prison's dreaded solitary confinement cell, ""the box,"" make   rebel hero   fellow convicts   thorn   side   prison officers.","Drama, Crime"
Rurouni Kenshin: The Final," 1879, kinship   allies face  strongest enemy yet:  former brother-in-law rekishi yukishiro   minions, who've vowed  revenge.","Action, Adventure, History, Drama"
Marriage Story," stage director   actress struggle   ruling, coast-to-coast divorce  pushes    personal extremes.",Drama
Safety Last!,"  store clerk organizes  contest  climb  outside   tall building, circumstances force   make  perilous climb himself.","Comedy, Romance"
Past Lives," decades apart, childhood friends nora  hae sung  reunited  new york  one fateful weekend   confront notions  destiny, love,   choices  make  life.","Drama, Romance"
Underground," group  serbian socialists prepares   war   surreal underground filled  parties, tragedies, love  hate.","Comedy, Drama, War"
Beauty and the Beast,"follow  adventures  belle,  bright young woman  finds    castle   prince who's  turned   mysterious beast.   help   castle's enchanted staff, belle soon learns   important lesson   --  true beauty comes  within.","Romance, Family, Animation, Fantasy"
Slumdog Millionaire," teenager reflects   life   accused  cheating   indian version  ""who wants    millionaire?"".","Drama, Romance"
Red Shoes and the Seven Dwarfs,"princes    turned  dwarfs seek  red shoes   lady  order  break  spell, although     easy.","Animation, Fantasy, Family, Comedy, Romance, Adventure"
All Quiet on the Western Front,"paul bauer   friends albert  miller, legged   romantic dreams  heroism, voluntarily enlist   german army. full  excitement  patriotic fervor,  boys enthusiastically march   war  believe in.     western front,  discover  soul-destroying horror  world war i.","War, History, Drama"
Selena,"  biographical drama, selena quintanilla  born   musical mexican-american family  texas.  father, abraham, realizes   young daughter  talented  begins performing    small venues.  finds success  falls   guitarist, chris perez,  draws  ire   father. seeking mainstream stardom, selena begins recording  english-language album which, tragically,  would never complete.","Drama, Music, History"
The Chorus," 1940s france,  new teacher   school  disruptive boys gives hope  inspiration.",Drama
The Breakfast Club,"five high school students  different walks  life endure  saturday detention   power-hungry principal.  disparate group includes rebel john, princess claire, outcast allison, brain brian  andrew,  jock.    chance  tell    story, making  others see   little differently --    day ends,  question whether school  ever   same.","Comedy, Drama"
Magnolia," one random day   san fernando valley,  dying father,  young wife,  male caretaker,  famous lost son,  police officer  love,  boy genius,  ex-boy genius,  game show host   estranged daughter   become part   dazzling multiplicity  plots,  one story.",Drama
Don't Blame the Kid,"  one-night stand results  pregnancy,  young woman decides  become partners   emotionally immature father-to-be.","Comedy, Romance"
Hustle," discovering  once-in-a-lifetime player   rocky past abroad,     luck basketball scout takes  upon   bring  phenol   states without  team's approval.   odds,   one final shot  prove     takes  make    nba.","Drama, Comedy"
Rush,"  1970s,  rivalry propel race car drivers wiki laura  james hunt  fame  glory —   horrible accident threatens  end  all.","Drama, Action"
L'Eclisse," romantic drama  michelangelo antonio follows  love life  victoria,  beautiful literary translator living  rome.  splitting   writer boyfriend, ricardo, victoria meets pier,  lively stockbroker,   hectic floor   roman stock exchange. though victoria  pier begin  relationship,    one without difficulties,   commitment  one another  tested   eclipse.","Drama, Romance"
Vivre Sa Vie,twelve episodic tales   life   pakistan woman   slow descent  prostitution.,Drama
Big Hero 6," special bond develops  plus-sized inflatable robot batman,  prodigy hero canada,  team    group  friends  form  band  high-tech heroes.","Adventure, Family, Animation, Action, Comedy"
Three Steps Above Heaven,"story  two young people  belong  different worlds.    chronicle   love improbable, almost impossible  inevitable dragging   frantic journey  discover  first great love. baby   girl  upper-middle class   educated  goodness  innocence . cache   rebellious boy, impulsive, unconscious,   appetite  risk  danger embodied  endless fights  illegal motorbike races,  limit  common sense","Romance, Drama"
The Blues Brothers,"jake blues,  released  prison, puts  old band back together  save  catholic home     brother blood  raised.","Music, Comedy, Action, Crime"
Marriage Italian Style,"  bombing  names  world war ii,  cynical businessman helps  naive prostitute,  spends  next two decades desperate    reciprocal  feelings.","Drama, Romance, Comedy"
Who's Afraid of Virginia Woolf?," history professor   wife entertain  young couple   new   university's faculty.   drinks flow, secrets come  light,   middle-aged couple unload onto  guests  full force   bitterness, dysfunction,  animosity  defines  marriage.",Drama
The Sound of Music,"  years   second world war,  tomboyish postulate   austrian abbey  hired   governess   home   widowed naval captain  seven children,  brings  new love  life  music   home.","Drama, Family, Music, Romance"
Fiddler on the Roof,"  pre-revolutionary russia,  poor jewish milan struggles   challenges   changing world   daughters fall  love  antisemitism grows.","Drama, Romance"
"I, Daniel Blake"," middle aged carpenter,  requires state welfare  injuring himself,  joined   single mother   similar scenario.",Drama
Kwaidan,"taking  title   archaic japanese word meaning ""ghost story,""  anthology adapts four folk tales.  penniless samurai marries  money  tragic results.  man stranded   blizzard  saved  uki  snow maiden,   rescue comes   cost. blind musician ichi  forced  perform   audience  ghosts.  author relates  story   samurai  sees another warrior's reflection   teach.","Horror, Fantasy, Drama"
Manhattan,manhattan explores   life   middle-aged television writer dating  teenage girl   complicated   falls  love   best friend's mistress.,"Comedy, Drama, Romance"
The Straight Story," retired farmer  widower   70s, calvin straight learns one day   distant brother lle  suffered  stroke  may  recover. calvin  determined  make things right  lle   still can,   brother lives  wisconsin,  calvin  stuck  iowa   car   driver's license.   hits   idea  making  trip   old lawnmower, thus beginning  picturesque   times deeply spiritual odyssey.",Drama
The Seven Deadly Sins: Cursed by Light,"  help   ""dragon sin  wrath"" meliodas   worst rebels  history,  seven deadly sins,  ""holy war"",   four races, including humans, goddesses, fairies  giants fought   demons,  finally over.   cost   ""lion sin  pride"" espanol's life,  demon king  defeated   world regained peace.  that,    sins take   path.","Animation, Fantasy"
John Wick: Chapter 4,"  price   head ever increasing, john wick uncovers  path  defeating  high table.     earn  freedom, wick must face    new enemy  powerful alliances across  globe  forces  turn old friends  foes.","Action, Thriller, Crime"
Cowboy Bebop: The Movie," year  2071. following  terrorist bombing,  deadly virus  released   populace  mars   government  issued  largest bounty  history,   capture  whoever  behind it.  bounty hunter crew   spaceship below; spike, face, jet  ed, take  case  hopes  casting   bounty. however,  mystery surrounding  man responsible, vincent, goes deeper   ever imagined,      ones hunting him.","Action, Animation, Science Fiction"
Philadelphia,two competing lawyers join forces  sue  prestigious law firm  aids discrimination.   unlikely friendship develops  courage overcomes  prejudice  corruption   powerful adversaries.,Drama
The Bridges of Madison County,photographer robert findaid wanders   life  housewife francesco johnson  four days   1960s.,"Drama, Romance"
Edward Scissorhands, small suburban town receives  visit   castaway unfinished science experiment named edward.,"Fantasy, Drama, Romance"
Officer Black Belt, talented martial artist  can't walk past  person  need unites   probation officer  fight  prevent crime   martial arts officer.,"Action, Comedy, Crime"
Hotel Rwanda,"inspired  true events,  film takes place  rwanda   1990s     million thesis  killed   genocide  went mostly unnoticed   rest   world. hotel owner paul rusesabagina houses   thousand refuges   hotel  attempt  save  lives.","Drama, History, War"
PK," stranger   city asks questions  one  asked before. known    initials,  man's innocent questions  childlike curiosity take    journey  love, laughter  letting go.","Comedy, Drama, Science Fiction"
Rurouni Kenshin Part III: The Legend Ends,"shishio sets sail   ironclad ship  bring   government.  order  stop him, kinship trains   old master  learn  final technique.","Action, Adventure, Fantasy"
Batman Begins,"driven  tragedy, billionaire bruce wayne dedicates  life  uncovering  defeating  corruption  plague  home, gotham city. unable  work within  system,  instead creates  new identity,  symbol  fear   criminal underworld -  batman.","Drama, Crime, Action"
The Incredibles,"bob part  given   superhero days  log  time   insurance adjusted  raise  three children   formerly heroic wife  suburb.    receives  mysterious assignment,  time  get back  costume.","Action, Adventure, Animation, Family"
BPM (Beats per Minute),"paris,   early 1990s:  group  young activists  desperately tied  finding  cure   unknown lethal disease.  target  pharmaceutical labs   retaining potential cures,  multiply direct actions,   hope  saving  lives  well   ones  future generations.",Drama
The Celebration," family   wealthy businessman gather  celebrate  60th birthday.   course   party,  eldest son presents  speech  reveals  shocking secret.",Drama
Sound of Metal,"metal drummer ruben begins  lose  hearing.   doctor tells   condition  worsen,  thinks  career  life  over.  girlfriend lou checks  former addict   rehab   deaf hoping   prevent  relapse  help  adapt   new life.   welcomed  accepted    is, ruben must choose   new normal   life   knew.","Drama, Music"
Knockin' on Heaven's Door,"two young men, martin  rude,  suffering  terminal cancer, get  know     hospital room.  drown  desperation  tequila  decide  take one last trip   sea. drunk  still  params  steal  first fancy car  find,  60's mercedes convertible.  car happens  belong   bunch  gangsters,  immediately start  chase it, since  contains    pistol martin finds   glove box.","Comedy, Crime"
The Maltese Falcon," private detective takes   case  involves   three eccentric criminals,  beautiful liar,   quest   priceless statuette.","Mystery, Crime, Thriller"
Mother," mother lives quietly   son. one day,  girl  brutally killed,   boy  charged   murder. now,   mother's mission  prove  innocent.","Crime, Drama, Mystery"
The Sacrifice,"alexander,  journalist, philosopher  retired actor, celebrates  birthday  friends  family    announced  nuclear war  begun.",Drama
Holding the Man,"tim  john fell  love  teenagers   all-boys high school. john  captain   football team, tim  aspiring actor playing  minor part  romeo  julie.  romance endured  15 years   face  everything life threw   –  separations,  discrimination,  temptation,  jealousies   losses –    problem  love can't solve tried  destroy them.",Drama
Day & Night," day,  sunny fellow, encounters night,  stranger  distinctly darker moods, sparks fly! day  night  frightened  suspicious     first,  quickly get    wrong foot.    discover  other's unique qualities--and come  realize     offers  different window onto   world-the friendship helps   gain  new perspective.","Animation, Family, Comedy"
Cousins,"lucas   young man  lives   religious aunt sources   quiet country town.  helps  aunt  holding religious meetings   ladies   area,   living room, playing biblical songs   keyboard.  quiet life  end  soon   charitable aunt communicates  arrival  another nephew, mario,    jail.  clash  reality   cousins ends  causing unusual situations,   unexpected attraction among  boys.","Comedy, Romance, Drama"
Pride," 1984,  group  lgbt activists decide  raise money  support  national union  mineworkers   lengthy strike.    one problem:  union seems embarrassed  receive  support.","Drama, Comedy"
My Night at Maud's," catholic jean-louis runs   old friend,  marxists vital,  vermont-fernando around christmas. vital introduces jean-louis   modestly liberties, recently divorced mad   three engage  conversation  religion, atheism, love, morality  base pascal's life  writings  philosophy, faith  mathematics. jean-louis ends  spending  night  mad's. jean-louis' catholic views  marriage, fidelity  obligation make  situation  dilemma,    already,    beginning   film, proclaimed  love   young woman whom, however,   never yet spoken to.","Romance, Comedy, Drama"
Alice in the Cities,"german journalist philip winter   case  writer’s block  trying  write  article   united states.  decides  return  germany,   trying  book  flight, encounters  german woman   nine year old daughter alice   same.  three become friends (almost   necessity)    mother asks winter  mind alice temporarily,  quickly becomes apparent  alice    responsibility  longer   expected.",Drama
Harry Potter and the Chamber of Secrets,"cars fly, trees fight back,   mysterious house-elf comes  warn harry potter   start   second year  hogwarts. adventure  danger await  bloody writing   wall announces:  chamber  secrets   opened.  save hogwarts  require   harry, ron  hormone’s magical abilities  courage.","Adventure, Fantasy"
The Gorge,"two highly trained operatives grow close   distance   sent  guard opposite sides   mysterious gorge.   evil  emerges,  must work together  survive  lies within.","Romance, Science Fiction, Thriller"
Nightcrawler," lou bloom, desperate  work, muscles   world  l.a. crime journalism,  blues  line  observer  participant  become  star    story. aiding    effort  nina,  tv-news veteran.","Crime, Drama, Thriller"
My Mom Is a Character 2," herínia  back,   rich  famous since    host    successful tv show. however,  overprotective character    deal   children's departures,  barcelona  julian decide  move out.  counterpart,   welcome,   visitor,  sister lúcia helena, who's  living  new york.",Comedy
Brief Encounter,"returning home   shopping trip   nearby town, bored suburban housewife laura lesson  thrown  happenstance   acquaintance  virtuous doctor alec harvey.  casual friendship soon develops   weekly visits  something  emotionally fulfilling  either expected,   must wrestle   potential havoc  deepening relationship would    lives   lives    love.","Drama, Romance"
The Ox-Bow Incident, posse discovers  trio  men  suspect  murder  cow theft   split  handing     law  lynching    spot.,"Western, Drama"
White Snake,"one day  young woman named blanc  saved  juan,  snake catcher   nearby village.   lost  memory,  together  go   journey  discover  real identity, developing deeper feelings  one another along  way.    learn    past,  uncover  darker plot  supernatural forces vying  power,   fate   world hanging   balance.","Romance, Animation, Fantasy"
The Children's Hour, unruly student   private all-girls boarding school scandalous accuses  two women  run     romantic relationship.,Drama
The Promised Land,"denmark, 1755. captain ludvig wahlen sets   conquer  danish heath reputed   uncultivable,   impossible goal:  establish  colony   name   king,  exchange   royal title.  single-minded ambition   ruthless lord   region  relentlessly seek  put down. wahlen's fate hangs   balance:   endeavours bring  wealth  honour,  cost   life...?","Action, Drama, History"
Sword Art Online: The Movie – Ordinal Scale," 2026, four years   infamous sword art online incident,  revolutionary new form  technology  emerged:  alma,  device  utilizes  augmented reality system. unlike  virtual reality   nervegear   atmosphere,   perfectly safe  allows players  use     conscious, creating  instant hit   market.   popular application   alma   game ordinal scale,  immersed players   fantasy role-playing game  player rankings  rewards. following  new craze, rito's friends dive   game,  despite  reservations   system, rito eventually joins them.   first  appears    fun  games,  soon find    game      seems...","Animation, Action, Adventure, Fantasy, Science Fiction"
The Searchers,"  civil war veteran spends years searching   young niece captured  indians,  motivation becomes increasingly questionable.",Western
"Duck, You Sucker","  beginning   1913 mexican revolution, greedy bandit juan miranda  idealism john h. mallory,  irish republican army explosives expert   lam   british, fall    band  revolutionaries plotting  strike  national bank.   turns    government   using  bank   hiding place  illegally detained political prisoners --   freed   blast -- miranda becomes  revolutionary hero   will.",Western
Fried Green Tomatoes,"amidst   personality crisis,  southern housewife meets  outgoing old woman  tells   story  die threadgoode  ruth jackson, two young women  experienced hardships  love  1920s whistle stop, alabama.","Drama, Comedy"
The Man from Nowhere, ex-special agent  involved   convoluted drug ring drama.    save  drug smuggler's innocent daughter    victim   parents' fight.,"Action, Thriller, Crime"
My Little Pony: A New Generation,"equestrian's divided.   bright-eyed hero believes earth ponies, vegas  unicorn   pals — and, hoof  heart, she’s determined  prove it.","Animation, Family, Fantasy, Comedy, Adventure"
Azur & Asmar: The Princes' Quest,"raised  tales    fairy princess, zur,  young freshman goes  north africa  search   sprite,   discover   close childhood friend, amar,  arab youth whose mother raised  boys also seeks  genie.","Animation, Family"
The Broken Circle Breakdown, loss   young daughter threatens  destroy  love  faith  two married musicians.,Drama
For Love and Gold," group  rogue steal  scroll granting  bearer  property   land  aurocastro  aphia,  province   south  italy.  elect  shady knight, brancaleone  noticia,   leader,  decide  get possession   supposedly wealthy land. many adventures  occur   journey.","Comedy, Adventure"
Dreams, collection  magical tales based upon  actual dreams  director air kurosawa.,"Fantasy, Drama"
Mysterious Skin," teenage hustle   young man obsessed  alien abduction cross paths, together discovering  horrible, liberating truth.",Drama
Hiroshima Mon Amour," deep conversation   japanese architect   french actress forms  basis   celebrated french film, considered one   vanguard productions   french new wave. set  hiroshima   end  world war ii,  couple -- lovers turned friends -- recount,  many hours, previous romances  life experiences.  two intertwined  stories   past  wondering  devastation wrought   atomic bomb dropped   city.","Drama, History, Romance"
Embrace of the Serpent," epic story   first contact, encounter, approach, betrayal and, eventually, life-transcluding friendship,  karamakate,  amazonian shaman, last survivor   people,  two scientists that,   course  40 years, travel   amazon  search   sacred plant   heal them. inspired   journals   first explorers   colombia amazon, theodore koch-rnberg  richard evans schultes.","Drama, Adventure"
If Anything Happens I Love You,"  oscar-winning short film, grieving parents journey   emotional void   mourn  loss   child   tragic school shooting.","Drama, Animation"
